,Name,URL,ISIN,WKN,SymbolFinanzen.net,Country,Yahoo Ticker,Yahoo online
87,BVB (Borussia Dortmund),http://www.finanzen.net/aktien/BVB-Aktie,DE0005493092,549309,BVB,Deutschland,BVB.DE,True
88,Capital Stage,http://www.finanzen.net/aktien/Capital_Stage-Aktie,DE0006095003,609500,CAP.FRA,Deutschland,CAP.DE,True
89,CEWE Stiftung,http://www.finanzen.net/aktien/CEWE_Stiftung-Aktie,DE0005403901,540390,CWC,Deutschland,CWC.DE,True
90,Delivery Hero,http://www.finanzen.net/aktien/Delivery_Hero-Aktie,DE000A2E4K43,A2E4K4,,Deutschland,DHER.DE,True
91,Deutsche Beteiligungs,http://www.finanzen.net/aktien/Deutsche_Beteiligungs-Aktie,DE000A1TNUT7,A1TNUT,,Deutschland,DBAN.DE,True
92,DEUTZ,http://www.finanzen.net/aktien/DEUTZ-Aktie,DE0006305006,630500,DEZ,Deutschland,DEZ.DE,True
93,DIC Asset,http://www.finanzen.net/aktien/DIC_Asset-Aktie,DE000A1X3XX4,A1X3XX,DAZ,Deutschland,DIC.DE,True
94,Diebold Nixdorf,http://www.finanzen.net/aktien/Diebold_Nixdorf-Aktie,DE000A0CAYB2,A0CAYB,WIN,Deutschland,WIN.DE,True
95,DMG MORI,http://www.finanzen.net/aktien/DMG_MORI-Aktie,DE0005878003,587800,GIL,Deutschland,GIL.DE,True
96,ElringKlinger,http://www.finanzen.net/aktien/ElringKlinger-Aktie,DE0007856023,785602,ZIL2,Deutschland,ZIL2.F,True
97,GERRY WEBER,http://www.finanzen.net/aktien/GERRY_WEBER-Aktie,DE0003304101,330410,GWI1,Deutschland,GWI1.DE,True
98,Grammer,http://www.finanzen.net/aktien/Grammer-Aktie,DE0005895403,589540,GMM,Deutschland,GMM.DE,True
99,GRENKE,http://www.finanzen.net/aktien/GRENKE-Aktie,DE000A161N30,A161N3,,Deutschland,GLJ.DE,True
100,HAMBORNER REIT,http://www.finanzen.net/aktien/HAMBORNER_REIT-Aktie,DE0006013006,601300,HAB,Deutschland,HAB.F,True
101,Hapag-Lloyd,http://www.finanzen.net/aktien/Hapag-Lloyd-Aktie,DE000HLAG475,HLAG47,,Deutschland,HLAG.DE,True
102,Heidelberger Druckmaschinen,http://www.finanzen.net/aktien/Heidelberger_Druckmaschinen-Aktie,DE0007314007,731400,HDD,Deutschland,HDD.DE,True
103,HHLA,http://www.finanzen.net/aktien/HHLA-Aktie,DE000A0S8488,A0S848,HHFA,Deutschland,HHFA.DE,True
104,Hornbach,http://www.finanzen.net/aktien/Hornbach-Aktie,DE0006083405,608340,,Deutschland,HBH.F,True
105,Hypoport,http://www.finanzen.net/aktien/Hypoport-Aktie,DE0005493365,549336,,Deutschland,HYQ.DE,True
106,INDUS,http://www.finanzen.net/aktien/INDUS-Aktie,DE0006200108,620010,INH,Deutschland,INH.DE,True
107,Klöckner,http://www.finanzen.net/aktien/Kloeckner_Co-Aktie,DE000KC01000,KC0100,KCO,Deutschland,KCO.DE,True
108,Koenig Bauer,http://www.finanzen.net/aktien/KoenigBauer-Aktie,DE0007193500,719350,SKB,Deutschland,SKB.DE,True
109,KWS SAAT,http://www.finanzen.net/aktien/KWS_SAAT-Aktie,DE0007074007,707400,KWS,Deutschland,KWS.DE,True
110,MLP,http://www.finanzen.net/aktien/MLP-Aktie,DE0006569908,656990,MLP,Deutschland,MLP.DE,True
111,PATRIZIA Immobilien,http://www.finanzen.net/aktien/PATRIZIA_Immobilien-Aktie,DE000PAT1AG3,PAT1AG,,Deutschland,P1Z.DE,True
112,PUMA,http://www.finanzen.net/aktien/PUMA-Aktie,DE0006969603,696960,PUM,Deutschland,PUM.DE,True
113,RATIONAL,http://www.finanzen.net/aktien/rational-Aktie,DE0007010803,701080,RAA,Deutschland,RAA.DE,True
114,RHÖN-KLINIKUM,http://www.finanzen.net/aktien/RHOEN-KLINIKUM-Aktie,DE0007042301,704230,RHK,Deutschland,RHK.DE,True
115,Rocket Internet,http://www.finanzen.net/aktien/Rocket_Internet-Aktie,DE000A12UKK6,A12UKK,RKET,Deutschland,RKET.DE,True
116,SAF-Holland SA,http://www.finanzen.net/aktien/SAF-Holland-Aktie,LU0307018795,A0MU70,SFQ,Luxemburg,SFQ.DE,True
117,Scout24,http://www.finanzen.net/aktien/Scout24-Aktie,DE000A12DM80,A12DM8,,Deutschland,G24.DE,True
118,SGL Carbon,http://www.finanzen.net/aktien/SGL_Carbon-Aktie,DE0007235301,723530,SGL,Deutschland,SGL.DE,True
119,Sixt,http://www.finanzen.net/aktien/Sixt-Aktie,DE0007231326,723132,SIX2,Deutschland,SIX2.DE,True
120,Stabilus,http://www.finanzen.net/aktien/Stabilus-Aktie,LU1066226637,A113Q5,,Luxemburg,STM.F,True
121,TAKKT,http://www.finanzen.net/aktien/TAKKT-Aktie,DE0007446007,744600,TTK,Deutschland,TTK.DE,True
122,Tele Columbus,http://www.finanzen.net/aktien/Tele_Columbus-Aktie,DE000TCAG172,TCAG17,,Deutschland,TC1.DE,True
123,TLG IMMOBILIEN,http://www.finanzen.net/aktien/TLG_IMMOBILIEN-Aktie,DE000A12B8Z4,A12B8Z,,Deutschland,TLG.DE,True
124,Vossloh,http://www.finanzen.net/aktien/Vossloh-Aktie,DE0007667107,766710,VOS,Deutschland,VOS.DE,True
125,VTG,http://www.finanzen.net/aktien/VTG-Aktie,DE000VTG9999,VTG999,VT9,Deutschland,VT9.DE,True
126,Wacker Neuson,http://www.finanzen.net/aktien/Wacker-Aktie,DE000WACK012,WACK01,WAC,Deutschland,WAC.DE,True
