,Name,URL,ISIN,WKN,SymbolFinanzen.net,Country,Yahoo Ticker,Yahoo online
0,adidas,http://www.finanzen.net/aktien/adidas-Aktie,DE000A1EWWW0,A1EWWW,ADS,Deutschland,ADS.DE,True
1,Allianz,http://www.finanzen.net/aktien/Allianz-Aktie,DE0008404005,840400,ALV,Deutschland,ALV.DE,True
2,BASF,http://www.finanzen.net/aktien/BASF-Aktie,DE000BASF111,BASF11,BAS,Deutschland,BAS.DE,True
3,Bayer,http://www.finanzen.net/aktien/Bayer-Aktie,DE000BAY0017,BAY001,BAYN,Deutschland,BAYN.DE,True
4,Beiersdorf,http://www.finanzen.net/aktien/Beiersdorf-Aktie,DE0005200000,520000,BEI,Deutschland,BEI.DE,True
5,BMW,http://www.finanzen.net/aktien/BMW-Aktie,DE0005190003,519000,BMW,Deutschland,BMW.DE,True
6,Commerzbank,http://www.finanzen.net/aktien/Commerzbank-Aktie,DE000CBK1001,CBK100,CBK,Deutschland,CBK.DE,True
7,Continental,http://www.finanzen.net/aktien/Continental-Aktie,DE0005439004,543900,CON,Deutschland,CON.DE,True
8,Daimler,http://www.finanzen.net/aktien/Daimler-Aktie,DE0007100000,710000,DAI,Deutschland,DAI.DE,True
9,Deutsche Bank,http://www.finanzen.net/aktien/Deutsche_Bank-Aktie,DE0005140008,514000,DBK,Deutschland,DBK.DE,True
10,Deutsche Börse,http://www.finanzen.net/aktien/Deutsche_Boerse-Aktie,DE0005810055,581005,DB1,Deutschland,DB1.DE,True
11,Deutsche Post,http://www.finanzen.net/aktien/Deutsche_Post-Aktie,DE0005552004,555200,DPW,Deutschland,DPW.DE,True
12,Deutsche Telekom,http://www.finanzen.net/aktien/Deutsche_Telekom-Aktie,DE0005557508,555750,DTE,Deutschland,DTE.DE,True
13,E.ON,http://www.finanzen.net/aktien/eon-Aktie,DE000ENAG999,ENAG99,EON,Deutschland,EOAN.DE,True
14,Fresenius,http://www.finanzen.net/aktien/Fresenius-Aktie,DE0005785604,578560,FRE,Deutschland,FRE.DE,True
15,Fresenius Medical Care,http://www.finanzen.net/aktien/Fresenius_Medical_Care-Aktie,DE0005785802,578580,FME,Deutschland,FME.DE,True
16,HeidelbergCement,http://www.finanzen.net/aktien/HeidelbergCement-Aktie,DE0006047004,604700,HEI,Deutschland,HEI.DE,True
17,Henkel vz.,http://www.finanzen.net/aktien/Henkel_vz-Aktie,DE0006048432,604843,HEN3,Deutschland,HEN3.DE,True
18,Infineon,http://www.finanzen.net/aktien/Infineon-Aktie,DE0006231004,623100,IFX,Deutschland,IFX.DE,True
19,Linde,http://www.finanzen.net/aktien/Linde-Aktie,DE000A2E4L75,A2E4L7,,Deutschland,LIN.DE,True
20,Lufthansa,http://www.finanzen.net/aktien/Lufthansa-Aktie,DE0008232125,823212,LHA,Deutschland,LHA.DE,True
21,Merck,http://www.finanzen.net/aktien/Merck-Aktie,DE0006599905,659990,MRK,Deutschland,MRK.DE,True
22,Münchener Rückversicherungs-Gesellschaft,http://www.finanzen.net/aktien/Munich_Re-Aktie,DE0008430026,843002,MUV2,Deutschland,MUV2.DE,True
23,Covestro,http://www.finanzen.net/aktien/covestro-Aktie,DE0006062144,606214,,Deutschland,1COV.DE,True
24,RWE,http://www.finanzen.net/aktien/RWE-Aktie,DE0007037129,703712,RWE,Deutschland,RWE.DE,True
25,SAP,http://www.finanzen.net/aktien/SAP-Aktie,DE0007164600,716460,SAP,Deutschland,SAP.DE,True
26,Siemens,http://www.finanzen.net/aktien/Siemens-Aktie,DE0007236101,723610,SIE,Deutschland,SIE.DE,True
27,thyssenkrupp,http://www.finanzen.net/aktien/thyssenkrupp-Aktie,DE0007500001,750000,TKA,Deutschland,TKA.DE,True
28,Volkswagen (VW) vz.,http://www.finanzen.net/aktien/Volkswagen_vz-Aktie,DE0007664039,766403,VOW3,Deutschland,VOW3.DE,True
29,Vonovia,http://www.finanzen.net/aktien/Vonovia-Aktie,DE000A1ML7J1,A1ML7J,ANN,Deutschland,VNA.DE,True
